1,"Ginkgo biloba","DB01381","Additive anticoagulant/antiplatelet effects may increase bleed risk. Concomitant therapy should be avoided."
1,"Treprostinil","DB00374","The prostacyclin analogue, Treprostinil, increases the risk of bleeding when combined with the anticoagulant, Lepirudin. Monitor for increased bleeding during concomitant thearpy. "
4,"Rilonacept","DB06372","decreases effects of toxoids by pharmacodynamic antagonism. "
4,"Trastuzumab","DB00072","Trastuzumab may increase the risk of neutropenia and anemia. Monitor closely for signs and symptoms of adverse events."
5,"Abatacept","DB01281","Avoid combination because of increased adverse effects of Abatacept."
5,"Anakinra","DB00026","Avoid combination due to increased adverse effects of anakinra and increased risk of infections."
5,"Belimumab","DB08879","Avoid combination because of enhanced adverse effects of belimumab."
5,"Belimumab","DB08879","Avoid combination due to enhanced toxic effects of belimumab."
5,"Canakinumab","DB06168","Combination should be avoided because Etanercept increase the toxic effects of canakinumab including neutropenia. "
5,"Certolizumab pegol","DB08904","Avoid combination as certolizumab pegol toxic effects would be enhanced."
5,"Cyclophosphamide","DB00531","Avoid combination due to enhanced adverse effects of cyclophosphasmide and increased risk of solid cancer development. "
5,"Denosumab","DB06643","Monitor therapy as there may be an enhanced immunosuppressive effect."
5,"Infliximab","DB00065","Avoid combination because etanercept may increase immunosuppressive effects of infliximab."
5,"Leflunomide","DB01097","Consider modifying therapy due to enhanced adverse effects of leflunomide including hematologic toxicity."
5,"Natalizumab","DB00108","Avoid combination due to enhanced adverse effects of natalizumab and increased risk of infections."
5,"Pimecrolimus","DB00337","Avoid combination due to enhanced immunosuppressive effects."
5,"Rilonacept","DB06372","results in increased immunosuppressive effects; increases the risk of infection. "
5,"Roflumilast","DB01656","Due to enhanced immunosuppressive effects, therapy modification should be considered."
5,"Sipuleucel-T","DB06688","Monitor therapy because of reduced therapeutic effect of sipuleucel-T."
5,"Tacrolimus","DB00864","Avoid combination due to enhanced immunosuppressive effects"
5,"Tocilizumab","DB06273","Avoid combination due to enhanced immunosuppressive effects."
5,"Tofacitinib","DB08895","Etanercept increases the risk of added immunosuppression. It is recommended to avoid concurrent therapy."
5,"Trastuzumab","DB00072","Trastuzumab may increase the risk of neutropenia and anemia. Monitor closely for signs and symptoms of adverse events. "
6,"Deferasirox","DB01609","Anticoagulants increase the risk for gastrointestinal ulceration/irritation and/or GI bleeding. If these two agents must be used, patients need to be closely monitored for signs and symptoms of GI toxicity."
6,"Gemcitabine","DB00441","Gemcitabine may enhance the adverse/toxic effect of Bleomycin. The risk of pulmonary toxicity may be increased. Use extreme caution if using gemcitabine and bleomycin in combination. Monitor for the development of pulmonary toxicity. "
6,"Ginkgo biloba","DB01381","Additive anticoagulant/antiplatelet effects may increase bleed risk. Concomitant therapy should be avoided."
6,"Rivaroxaban","DB06228","Anticoagulants may enhance the anticoagulant effect of rivaroxaban. Avoid concurrent use of rivaroxaban with other anticoagulants whenever possible, other than during transition periods, due to the possible increased for bleeding. "
6,"Treprostinil","DB00374","The prostacyclin analogue, Treprostinil, increases the risk of bleeding when combined with the anticoagulant, Bivalirudin. Monitor for increased bleeding during concomitant therapy. "
8,"Aminophylline","DB01223","Interferon increases the effect and toxicity of theophylline"
8,"Dyphylline","DB00651","Interferon increases the effect and toxicity of theophylline"
